Name,Team,Fumbles Lost,Ret TD,Rec 40 yd TD,Pass Int,Rush TD,Rush Yards,Pass Yds,Pick Six,Pass 40 yd TD,Rush 40 yd TD,Rec TD,Rec Yards,Pass TD,2PT
Dallas Clark,BAL,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,3.876,521.36,0.0,0.1
Anthony Fasano,KC,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0,4.6,564.0,0.0,0.1
Julius Thomas,DEN,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,2.6312,274.92,0.0,0.1
Ed Dickson,BAL,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,2.925,367.5,0.0,0.1
Dion Sims,MIA,0.3,0,0.1,0,0,0,0,0,0,0,2.7,364,0,0.1
Luke Stocker,TB,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,2.624,403.2,0.0,0.1
Kellen Winslow,NYJ,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,2.64384,501.84,0.0,0
Vance McDonald,SF,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,2.016,252.0,0.0,0.1
Delanie Walker,TEN,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0,2.5875,403.65,0.0,0
Garrett Graham,HOU,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,3.61504,305.76,0.0,0.1
Jeff Cumberland,NYJ,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,1.5552,196.8,0.0,0
David Ausberry,OAK,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,2.6894,436.8,0.0,0
Charles Clay,MIA,0.2,0.0,0.1,0.0,0.04352,6.72,0.0,0,0,0,1.4848,211.2,0.0,0
Benjamin Watson,NO,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,1.6275,231.0,0.0,0.1
Tony Scheffler,DET,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0,0,0,2.625,411.75,0.0,0
Tony Moeaki,KC,0.2,0,0.2,0,0,0,0,0,0,0,1.3,283,0,0
Travis Kelce,KC,0.2,0,0.1,0,0,0,0,0,0,0,1.5,228,0,0
David Paulson,PIT,0.1,0,0.1,0,0,0,0,0,0,0,1.5,192,0,0
Lance Kendricks,STL,0.1,0,0.1,0,0,0,0,0,0,0,1.4,189,0,0
Luke Willson,SEA,0.1,0,0.1,0,0,0,0,0,0,0,1.6,160,0,0
Tom Crabtree,TB,0.1,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1.312,241.92,0.0,0
